step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
5,2023-07-03 08:00:29.849775570,1,194.13,103.0,-0.27044528204301577,0.25398218204301576,0.0,0.0164631
7,2023-07-03 08:00:30.451005195,2,194.01,103.0,-0.23893063916728288,0.21249673916729198,0.009999999999990905,0.0164339
70,2023-07-03 08:03:30.071432879,1,194.15,186.0,-0.20601307030932622,0.13911177030934327,0.04999999999998295,0.0169013
71,2023-07-03 08:03:30.071432879,2,194.15,51.0,-0.1176977364085861,0.05079643640860315,0.04999999999998295,0.0169013
76,2023-07-03 08:03:59.695353821,2,194.15,77.0,-0.10254060464461748,0.03591850464463453,0.04999999999998295,0.0166221
92,2023-07-03 08:04:48.444245797,2,194.18,58.0,-0.11044440435158248,0.04399100435157111,0.05000000000001137,0.0164534
144,2023-07-03 08:06:26.519155859,1,194.0,79.0,-0.43604811132724447,0.23960631132723764,0.18000000000000682,0.0164418
149,2023-07-03 08:06:39.826437098,2,194.03,79.0,-0.2761457232231567,0.17959252322317262,0.07999999999998408,0.0165532
405,2023-07-03 08:18:57.374118580,1,193.82,104.0,-0.28614572322317605,0.17959252322317262,0.09000000000000341,0.0165532
407,2023-07-03 08:19:37.161138031,2,193.85,67.0,-0.27043958204301577,0.25398218204301576,0.0,0.0164574
410,2023-07-03 08:20:12.662344247,2,193.83,37.0,-0.21611652322315444,0.17959252322317262,0.01999999999998181,0.016524
442,2023-07-03 08:22:25.644010327,1,193.8,177.0,-0.12708181803554586,0.08031621803554471,0.030000000000001137,0.0167656
451,2023-07-03 08:22:33.567677034,2,193.79,76.0,-0.2362786232231931,0.17959252322317262,0.040000000000020464,0.0166861
452,2023-07-03 08:22:33.567677034,2,193.79,100.0,-0.2362786232231931,0.17959252322317262,0.040000000000020464,0.0166861
461,2023-07-03 08:22:37.058940039,2,193.84,1.0,-0.2852198764509418,0.2687894764509418,0.0,0.0164304
615,2023-07-03 08:39:06.801180233,1,193.79,89.0,-0.29351765061542595,0.27706185061542593,0.0,0.0164558
623,2023-07-03 08:39:44.663825099,2,193.74,67.0,-0.15695311803554698,0.08031621803554471,0.060000000000002274,0.0166369
630,2023-07-03 08:40:24.623735389,2,193.8,22.0,-0.13707311803553676,0.08031621803554471,0.03999999999999204,0.0167569
688,2023-07-03 08:49:46.817353798,1,193.8,252.0,-0.07237990464461634,0.03591850464463453,0.01999999999998181,0.0164614
694,2023-07-03 08:51:13.239748934,2,193.8,55.0,-0.1182249728172063,0.1015928728172063,0.0,0.0166321
708,2023-07-03 08:53:17.307160511,1,193.81,203.0,-0.11481647612860205,0.09836687612860205,0.0,0.0164496
710,2023-07-03 08:53:39.720170118,2,193.81,192.0,-0.27056108204301577,0.25398218204301576,0.0,0.0165789
712,2023-07-03 08:53:47.537888507,2,193.8,194.0,-0.12689551803554586,0.08031621803554471,0.030000000000001137,0.0165793
726,2023-07-03 08:55:27.681246455,2,193.78,14.0,-0.06742013640860316,0.05079643640860315,0.0,0.0166237
753,2023-07-03 08:57:39.253074375,1,193.73,80.0,-0.14910490928927134,0.07183700928926906,0.060000000000002274,0.0172679
754,2023-07-03 08:57:39.253074375,2,193.73,80.0,-0.05233330464463453,0.03591850464463453,0.0,0.0164148
789,2023-07-03 09:02:01.048234239,1,193.74,162.0,-0.14593791023422126,0.12950601023422126,0.0,0.0164319
798,2023-07-03 09:03:47.886680404,2,193.7,162.0,-0.18296783194907754,0.15656513194905822,0.010000000000019327,0.0164027
844,2023-07-03 09:08:10.049228948,1,193.69,183.0,-0.11708291803555494,0.08031621803554471,0.020000000000010232,0.0167667
853,2023-07-03 09:09:42.643600396,2,193.76,160.0,-0.10733311803556404,0.08031621803554471,0.010000000000019327,0.0170169
856,2023-07-03 09:09:42.643600396,2,193.77,23.0,-0.8209853571785581,0.774541557178557,0.030000000000001137,0.0164438
877,2023-07-03 09:11:30.306359643,1,193.8,144.0,-0.26924008038172725,0.25270908038172724,0.0,0.016531
883,2023-07-03 09:12:33.089248479,2,193.83,144.0,-0.05184551820429248,0.025398218204301576,0.009999999999990905,0.0164473
888,2023-07-03 09:13:42.587408020,1,193.84,94.0,-0.05187021820429248,0.025398218204301576,0.009999999999990905,0.016472
889,2023-07-03 09:13:44.585501850,2,193.82,94.0,-0.042287918204301576,0.025398218204301576,0.0,0.0168897
985,2023-07-03 09:30:16.768913671,1,193.8,236.0,-0.15372415743819917,0.11638925743821735,0.01999999999998181,0.0173349
1000,2023-07-03 09:32:29.274360186,2,193.7,217.0,-0.6094779910499141,0.5429518910499027,0.05000000000001137,0.0165261
1004,2023-07-03 09:34:12.147908013,2,193.71,19.0,-0.16050548482438307,0.11358428482438193,0.030000000000001137,0.0169212
1047,2023-07-03 09:38:37.110706821,1,193.61,128.0,-0.051996818204292486,0.025398218204301576,0.009999999999990905,0.0165986
1055,2023-07-03 09:38:55.118996628,2,193.6,101.0,-0.08044400435158133,0.04399100435157111,0.020000000000010232,0.016453
1063,2023-07-03 09:39:34.913724302,2,193.62,27.0,-0.11516657612860205,0.09836687612860205,0.0,0.0167997
1075,2023-07-03 09:40:28.676143039,1,193.62,210.0,-0.041863218204301576,0.025398218204301576,0.0,0.016465
1081,2023-07-03 09:40:48.758479190,2,193.6,134.0,-0.09353374241220119,0.056792142412190966,0.020000000000010232,0.0167416
1084,2023-07-03 09:40:48.758513369,2,193.59,76.0,-0.14285795743823668,0.11638925743821735,0.010000000000019327,0.0164687
1132,2023-07-03 09:48:10.913631406,1,193.53,87.0,-0.21438862743012127,0.17778752743011103,0.020000000000010232,0.0166011
